PRODUCTO,PRECIO,CATEGORIA,SUBCATEGORIA,DESCUENTO
MEDIATARDE SANDWICH X3,2500.0,SNACKS,,0
MILANESA POLLO,7000.0,CONGELADOS,Pollo Crudo,0
MUSLOS POLLO,4468.0,CONGELADOS,Pollo Crudo,0
Mapple Huevo,4500.0,ALMACÉN,Básico,0
NATURA MAYONESA  250G,1900.0,ALMACÉN,Básico,0
NATURA MOSTAZA 250G,1300.0,ALMACÉN,Básico,0
NATURA ROCIO VEGETAL,4800.0,ALMACÉN,Básico,0
NEVI ARVEJAS 340G,700.0,ALMACÉN,Básico,0
NEVI CHOCLO AMARILLO 340G,1500.0,ALMACÉN,Básico,0
NEVI CHOCLO AMARILLO CREMOSO 340G,800.0,ALMACÉN,Básico,0
NEVI LENTEJAS 340G,1000.0,ALMACÉN,Básico,0
OREGANO 25G,500.0,ALMACÉN,Condimentos,0
PALITO  AGUA MANZANA,500.0,HELADOS,,0
PALITO  CREMA  CHOCOLATE,1000.0,HELADOS,,0
PALITO  CREMA FRUTILLA,1000.0,HELADOS,,0
PALITO AGUA C DEL CIELO,500.0,HELADOS,,0
PALITO AGUA NARANJA,500.0,HELADOS,,0
PALITO AGUA UVA,500.0,HELADOS,,0
PALITO BOMBOM,1500.0,HELADOS,,0
PALITOS SALADOS 150G,1200.0,SNACKS,Fraccionado,0
PAN,2000.0,ALMACÉN,Básico,0
PAN HAMBURGUESA,2300.0,ALMACÉN,Básico,0
PAN LACTAL 400G,3400.0,ALMACÉN,Básico,0
PAPAS 90G JULI-CROC,2000.0,SNACKS,Fraccionado,0
PAPAS FRITAS 1 KG,5700.0,CONGELADOS,Rebozados,0
PAPAS FRITAS 400G,2300.0,CONGELADOS,Rebozados,0
PAPAS FRITAS 500G,2850.0,CONGELADOS,Rebozados,0
