"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto"
"0.0","0.0","","","MEDIATARDE SANDWICH X3","2500.0","","Unidades","SNACKS"
"6.13","6.13","","","MILANESA POLLO","7000.0","","kg","CONGELADOS / Pollo Crudo"
"0.0","0.0","","","MOLDE FREIDORA 20 X 50 U","200.0","","Unidades","Insumos de Producción"
"0.32","0.32","","","Mani Cervezero Jamon y queso GRANEL","1.0","","kg","Insumos de Producción"
"0.83","0.83","","","Mani Cervezero Panceta GRANEL","1.0","","kg","Insumos de Producción"
"0.66","0.66","","","Mani Cervezero Pizza GRANEL","1.0","","kg","Insumos de Producción"
"3.0","3.0","","","Mapple Huevo","4500.0","","Unidades","ALMACÉN / Básico"
"10.0","10.0","","","NATURA MAYONESA  250G","1900.0","","Unidades","ALMACÉN / Básico"
"12.0","12.0","","","NATURA MOSTAZA 250G","1300.0","","Unidades","ALMACÉN / Básico"
"11.0","11.0","","","NATURA ROCIO VEGETAL","4800.0","","Unidades","ALMACÉN / Básico"
"4.0","4.0","","","NEVI ARVEJAS 340G","700.0","","Unidades","ALMACÉN / Básico"
"2.0","2.0","","","NEVI CHOCLO AMARILLO 340G","1500.0","","Unidades","ALMACÉN / Básico"
"3.0","3.0","","","NEVI CHOCLO AMARILLO CREMOSO 340G","800.0","","Unidades","ALMACÉN / Básico"
"4.0","4.0","","","NEVI LENTEJAS 340G","1000.0","","Unidades","ALMACÉN / Básico"
"15.0","15.0","","","OREGANO 25G","500.0","","Unidades","ALMACÉN / Condimentos"
"0.47","0.47","","","OREGANO GRANEL","1.0","","kg","Insumos de Producción"
"40.0","40.0","","","P. BOMBOM","1500.0","","Unidades","HELADOS"
"20.0","20.0","","","P. CREMA  CHOCOLATE","1000.0","","Unidades","HELADOS"
"18.0","18.0","","","P. CREMA FRUTILLA","1000.0","","Unidades","HELADOS"
"20.0","20.0","","","P.AGUA C DEL CIELO","500.0","","Unidades","HELADOS"
"20.0","20.0","","","P.AGUA MANZANA","500.0","","Unidades","HELADOS"
"20.0","20.0","","","P.AGUA NARANJA","500.0","","Unidades","HELADOS"
"20.0","20.0","","","P.AGUA UVA","500.0","","Unidades","HELADOS"
"0.3","0.3","","","PALITOS JULI-CROC GRANEL","1.0","","kg","Insumos de Producción"
"2.0","2.0","","","PALITOS SALADOS 150G","1200.0","","Unidades","SNACKS / Fraccionado"
"0.0","0.0","","","PAN","2000.0","","kg","ALMACÉN / Básico"
"5.0","5.0","","","PAN HAMBURGUESA","2300.0","","Unidades","ALMACÉN / Básico"
"4.0","4.0","","","PAN LACTAL 400G","3400.0","","Unidades","ALMACÉN / Básico"
"6.0","6.0","","","PAPAS 90G JULI-CROC","2000.0","","Unidades","SNACKS / Fraccionado"
"0.0","0.0","","","PAPAS FRITAS 1G","5700.0","","Unidades","CONGELADOS / Rebozados"
"24.0","24.0","","","PAPAS FRITAS 400G","2300.0","","Unidades","CONGELADOS / Rebozados"
"19.0","19.0","","","PAPAS FRITAS 500G ","2850.0","","Unidades","CONGELADOS / Rebozados"
"9.6","9.6","","","PAPAS FRITAS GRANEL","1.0","","kg","Insumos de Producción"
"0.56","0.56","","","PAPAS JULI-CROC GRANEL","1.0","","kg","Insumos de Producción"
"4.0","4.0","","","PASCIALIANA HORNO","3000.0","","Unidades","REFRIGERADOS"
"2.0","2.0","","","PASTA DE MANI ENTRENUTS NATURAL","3200.0","","Unidades","DIETÉTICA / Saludable"
"2.0","2.0","","","PASTA MANI CROPPERS CRUNCHY","3400.0","","Unidades","DIETÉTICA / Saludable"
"0.0","0.0","","","PASTRADROLA CHICA BATATA","1400.0","","Unidades","ALMACÉN"
