"Cantidad a la mano","Cantidad pronosticada","Decoración de la actividad de excepción","Etiquetas","Favorito","Nombre","Precio de venta","Referencia interna","Unidad de medida","Categoría del producto/Categoría principal","Categoría del producto/# Productos","Categoría del producto/Nombre","Productos/Categoría del producto","Seguimiento","Rastrear inventario","Tipo de producto"
"6.0","6.0","","","","ESTANCIA MENDOZA BLEND BLANCO","3000.0","","Unidades","","1","ALCOHOL","ALCOHOL","Por cantidad","True","Bienes"
"0.0","0.0","","","","FILM 600 MT","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"0.0","0.0","","","","FILM SEPARADOR 500G","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"21.0","21.0","","","","GARRAPINADA 70G","900.0","","Unidades","SNACKS","10","Fraccionado","SNACKS / Fraccionado","Por cantidad","True","Bienes"
"1.51","1.51","","","","GARRAPINADA GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"0.68","0.68","","","","GOMISTAS MISKY GRANEL","1.0","","kg","","42","Insumos de Producción","Insumos de Producción","Por cantidad","True","Bienes"
"8.0","8.0","","","","GOMITAS 80G","1000.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"0.0","0.0","","","","GUANTES X100","1.0","","Unidades","","14","DESCARTABLES","DESCARTABLES","Por cantidad","","Bienes"
"34.0","34.0","","","","GUAYMALLEN SIMPLE BLANCO","500.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"31.0","31.0","","","","GUAYMALLEN SIMPLE NEGRO","500.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"1.0","1.0","","","","HALCONERO VINAGRE ALCOHOL","900.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","HALCONERO VINAGRE ALCOHOL 930","1300.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","HALCONERO VINAGRE MANZANA","2200.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"2.0","2.0","","","","HALCONERO VINAGRE VINO","1400.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"6.0","6.0","","","","HAMBURGUESA FELA FINA X2","2200.0","","Unidades","CONGELADOS","2","VACUNA","CONGELADOS / VACUNA","Por cantidad","True","Bienes"
"17.0","17.0","","","","HAMLET FRUTILLA","1200.0","","Unidades","","10","DULCES","DULCES","Por cantidad","True","Bienes"
"7.0","7.0","","","","HARINA REINHARINA 000","1150.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","HILERET LIGTH 250G","1450.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"12.0","12.0","","","","HUEVO X6 U","1000.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"9.0","9.0","","","","JUGO NARANJA 1L BIG C","1000.0","","Unidades","","12","BEBIDA","BEBIDA","Por cantidad","True","Bienes"
"2.0","2.0","","","","KETCHUP HELLMANS 250G","2600.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"15.0","15.0","","","","LA QUESERA RALLADITO 40G","1000.0","","Unidades","","76","ALMACÉN","ALMACÉN","Por cantidad","True","Bienes"
"4.0","4.0","","","","LA VIRGINIA CAFE SUAVE 100G","6200.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"0.0","0.0","","","","LA VIRGINIA TE 10 X 25 SAQ","1300.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE BOLDO 6 X 25 SAQ","2500.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE CEDRON 6 X 25","2400.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
"1.0","1.0","","","","LA VIRGINIA TE CHAI 6 X 20","2800.0","","Unidades","ALMACÉN","65","Básico","ALMACÉN / Básico","Por cantidad","True","Bienes"
